央,#genre#
吉林卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=jlws
辽宁卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=lnws
延边卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=ybws
山东卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=sdws
山东教育,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=sdeu
江苏卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=jsws
东方卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=dfws
浙江卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=zjws
东南卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=dnws
厦门卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=xmws
广东卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=gdws
深圳卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=szws
海南卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=hainan
三沙卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=ssws
广西卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=gxws
江西卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=jxws
湖南卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=hunan
湖北卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=hubei
安徽卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=ahws
河南卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=hnws
陕西卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=sxws
农林卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=nlws
山西卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=shanxi
内蒙古卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=nmgws
内蒙古蒙语,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=nmgmy
甘肃卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=gsws
宁夏卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=nxws
四川卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=scws
康巴卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=kbws
重庆卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cqws
